name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,release_year,mood,Year
Intermezzo No. 1 in E Minor,Intermezzo No. 1 in E Minor,Manuel Ponce,http://open.spotify.com/track/1HTYYXCKpMWiHRd7qIb6ui,2014,7,174013,0.31,0.995,0.0987,0.86,0.7140000000000001,0.0558,-25.408,0.0444,106.205,2014,calm,2014
Isonoe,GLIESE,Job Roggeveen,http://open.spotify.com/track/4sP8BZIZKGVq6jHOSPF17A,2020-02-28,23,159045,0.365,0.983,0.119,0.919,0.112,0.249,-20.962,0.0405,147.57299999999995,2020,calm,2020
It Takes Me Back,Hopeless Romantics,Emmrose,http://open.spotify.com/track/07FUh3cxCPNQFIIp8aSWCy,2020-03-20,41,142200,0.487,0.902,0.111,0.000107,0.35,0.179,-11.608,0.0356,87.161,2020,calm,2020
It's My Fault,It's My Fault,Lolo Zouaï,http://open.spotify.com/track/3QP17SZh39ZVczQnopq9BE,2020-04-24,54,195986,0.647,0.815,0.235,1.7800000000000002e-05,0.233,0.0382,-10.123,0.0389,129.85,2020,calm,2020
Jealous,Jealous,Labrinth,http://open.spotify.com/track/4L2K7JKseFCBoHMZEAszW0,2014-11-21,79,287693,0.435,0.873,0.155,0.0,0.107,0.0935,-8.948,0.046,128.532,2014,calm,2014
"John Wayne Gacy, Jr.",Illinois,Sufjan Stevens,http://open.spotify.com/track/2gFBh7NnEfSeBoZZDB5d2C,2005-07-05,50,199920,0.463,0.917,0.179,1.73e-05,0.12,0.183,-14.852,0.0402,80.747,2005,calm,2005
Juliens Journey,Juliens Journey,Reinhard Vanbergen,http://open.spotify.com/track/0DVw5GHPCUImZ8VmRdlbmx,2020-05-29,33,219213,0.578,0.994,0.0154,0.945,0.0799,0.244,-24.126,0.0987,123.953,2020,calm,2020
Just Can't Get Enough - Live in Hammersmith,Love In Itself.2 and Live Tracks,Depeche Mode,http://open.spotify.com/track/5LAdBsIfjzAsusjc6WSLmH,1983-01-01,56,335466,0.653,0.0082,0.975,0.5,0.6779999999999999,0.911,-9.071,0.0409,126.919,1983,energetic,1983
Just Look at You,432 Water Crystals,369,http://open.spotify.com/track/62X7ld1sa8RHl4zRtSvfHf,2020-02-21,59,187385,0.5579999999999999,0.985,0.249,0.925,0.103,0.111,-14.715,0.0303,94.991,2020,calm,2020
K.,K.,Rosie Carney,http://open.spotify.com/track/6vG1pcmNGdG6Vu62I9nLGL,2018-01-05,58,269000,0.348,0.962,0.226,0.00483,0.135,0.173,-10.918,0.0386,129.251,2018,calm,2018
Kangaroo (Remastered),It'll End In Tears (Remastered),This Mortal Coil,http://open.spotify.com/track/1HdIqEOl9MxoJNsz33VOvW,1984,47,209093,0.19,0.768,0.1669999999999999,0.16399999999999998,0.126,0.0491,-11.298,0.0291,169.636,1984,calm,1984
Kaolnite,Kaolnite,Burgundy Skies,http://open.spotify.com/track/4fItBSHKBcgKWixN1Idie5,2019-03-15,50,180689,0.247,0.622,0.231,0.87,0.0878,0.0485,-19.639,0.0328,174.014,2019,calm,2019
Keep Going,Keep Going,Mark Milan,http://open.spotify.com/track/4Hhup3YZfajcC7O0DNbwCq,2019-12-20,31,200527,0.385,0.994,0.305,0.949,0.109,0.172,-12.044,0.0466,74.024,2019,calm,2019
Kinky Love,Flesh Balloon,Pale Saints,http://open.spotify.com/track/3Uz3K1Ctq6MOIDqRddKHXo,1991-06-24,46,244240,0.376,0.133,0.277,0.0,0.0643,0.309,-18.291,0.0357,178.81400000000005,1991,sad,1991
Kiss On My List - Remastered,Hall & Oates,Daryl Hall & John Oates,http://open.spotify.com/track/3Jrf9MHZZWx3cXBeMkZWUu,2006-05-15,37,261200,0.8059999999999999,0.138,0.847,0.00157,0.067,0.97,-4.47,0.0319,121.718,2006,energetic,2006
Kiss You All Over - Single Edit,Kiss You All Over,Isaac Elton,http://open.spotify.com/track/1wHkIswzW9zGCOLDBYbHFL,2017-10-03,47,240383,0.696,0.0578,0.8240000000000001,8.56e-06,0.158,0.667,-5.67,0.0538,126.023,2017,energetic,2017
Kite,Kite,YuMe,http://open.spotify.com/track/6a8U8DihiuewRpRQ2OOCVU,2020-02-07,35,110714,0.534,0.973,0.019,0.8959999999999999,0.108,0.157,-26.071,0.0413,115.917,2020,calm,2020
Klangfall - Piano Version,Klangfall (Piano Version),Joep Beving,http://open.spotify.com/track/4pWowM3xMkRYgHsIJDf61f,2020-01-17,42,353007,0.394,0.993,0.0807,0.944,0.0964,0.0394,-25.987,0.0318,124.904,2020,calm,2020
Lay Your Head On Me (feat. Marcus Mumford),Lay Your Head On Me (feat. Marcus Mumford),Major Lazer,http://open.spotify.com/track/0oB9964bp22Bmok0Dmxlzb,2020-03-26,61,199895,0.6579999999999999,0.0471,0.765,1.02e-05,0.0936,0.222,-7.002000000000002,0.0469,119.974,2020,angry,2020
Let It Go,Chaos And The Calm,James Bay,http://open.spotify.com/track/13HVjjWUZFaWilh2QUJKsP,2014-12-15,73,260533,0.546,0.818,0.311,1.65e-05,0.107,0.246,-10.396,0.0288,147.464,2014,calm,2014
Let's Go Crazy,Purple Rain,Prince,http://open.spotify.com/track/0QeI79sp1vS8L3JgpEO7mD,1984-06-25,63,280000,0.309,0.0192,0.93,0.0022,0.106,0.376,-6.399,0.125,195.815,1984,energetic,1984
Lift Me Up (feat. Carla Monroe),Lift Me Up (feat. Carla Monroe),Oliver Heldens,http://open.spotify.com/track/0vK80mtYypq4dAwQelZ2Dh,2019-11-15,65,177120,0.579,0.0426,0.784,0.0235,0.317,0.562,-4.686,0.0659,125.122,2019,energetic,2019
Light Year,Light Year,Evan Michael Brown,http://open.spotify.com/track/1C2JiKNMjv8FaZlrgwObBJ,2019-07-28,51,234000,0.301,0.99,0.189,0.893,0.106,0.0379,-16.072,0.0351,139.894,2019,calm,2019
Light Years,Light Years,The National,http://open.spotify.com/track/0dcKsPZVWa64MvnoCes49q,2019-04-04,0,213373,0.544,0.95,0.316,0.7,0.0978,0.173,-11.666,0.0307,124.989,2019,calm,2019
Lights Go Down,Lights Go Down,Mike Candys,http://open.spotify.com/track/2shD8wlebq8fDg6ChqOPkC,2019-10-18,57,155520,0.741,0.00254,0.812,0.104,0.301,0.146,-5.356,0.039,124.991,2019,energetic,2019
Like The First Time - House Mix,Like The First Time,Isaac Elton,http://open.spotify.com/track/5ABnK6bOqbsIRVsrc1UBOt,2018-02-01,50,209000,0.775,0.00481,0.8759999999999999,0.0536,0.6609999999999999,0.797,-9.58,0.0383,123.979,2018,energetic,2018
Like We Do,Like We Do,Fedde Le Grand,http://open.spotify.com/track/1Qf07UNBIu1XolBnl7XTi8,2019-05-13,48,161992,0.614,0.0125,0.96,0.687,0.366,0.0392,-5.081,0.0465,128.019,2019,energetic,2019
Limitless,Limitless,Lucas Delphy,http://open.spotify.com/track/5QGNwI8U3o9mQg7RR3yOPj,2019-10-31,54,165685,0.238,0.404,0.191,0.888,0.107,0.0365,-20.242,0.0351,140.282,2019,sad,2019
Litost,Litost,Minxz,http://open.spotify.com/track/0bMcjygjhkTVB8T4r3xCde,2019-04-26,22,152456,0.383,0.988,0.101,0.919,0.102,0.242,-18.306,0.0427,119.709,2019,calm,2019
Little Things,Sixteen Stone,Bush,http://open.spotify.com/track/29IRVQao62okE22TDamSnm,1994-12-06,0,264293,0.3670000000000001,0.000229,0.915,0.0,0.184,0.215,-5.452999999999999,0.0682,112.642,1994,angry,1994
London Thunder,London Thunder,Foals,http://open.spotify.com/track/4gkoh2vAD57fGEITzteaUh,2015-08-24,37,254426,0.489,0.6409999999999999,0.357,0.333,0.0838,0.0388,-9.745,0.0259,92.009,2015,calm,2015
Long Way Down,Long Way Down (Deluxe),Tom Odell,http://open.spotify.com/track/1uVk6S6Fpkrmji0iTpgKEC,2013-06-24,59,149773,0.3670000000000001,0.972,0.121,0.0322,0.0871,0.0926,-13.778,0.0335,132.244,2013,calm,2013
Los Feliz,Los Feliz,Search For Atlantis,http://open.spotify.com/track/0efOqjQkOgWPEZTzAZSB6j,2019-05-27,49,166927,0.575,0.197,0.373,0.898,0.0753,0.123,-11.642,0.0279,74.975,2019,sad,2019
Lost,Lost,Annelie,http://open.spotify.com/track/7nC2EOpMnpDT2DkvniimSm,2020-06-05,64,161520,0.389,0.972,0.1,0.934,0.113,0.0676,-22.464,0.0358,133.839,2020,calm,2020
"Ma mère l'oye, M.60 - For Piano Duet, M.60: 1. Pavane de la Belle au bois dormant",Jeux,Arthur Jussen,http://open.spotify.com/track/534nbCFk48DR1UQt2XlxSx,2013-01-01,29,82880,0.517,0.995,0.0145,0.884,0.0719,0.5489999999999999,-42.018,0.0615,62.122,2013,calm,2013
Machinehead,Bush Digital Collection,Bush,http://open.spotify.com/track/1iTzI4NSQNLIETWDJ1WNWi,2005,0,256360,0.15,4.24e-05,0.875,0.00103,0.0957,0.156,-7.27,0.0975,169.80599999999995,2005,energetic,2005
Mad About You,The Magnificent Tree,Hooverphonic,http://open.spotify.com/track/5drK2kTE2mrUdV33iHWyrx,2000,62,223733,0.465,0.00109,0.8440000000000001,0.399,0.0865,0.155,-4.352,0.0379,170.358,2000,energetic,2000
Make Believe,Make Believe,Quintino,http://open.spotify.com/track/56oqWZUaA8ZmHQCH3lCRI3,2019-08-09,59,194531,0.5870000000000001,0.03,0.882,0.116,0.195,0.0653,-5.837999999999999,0.0427,127.97,2019,energetic,2019
Malibu,Malibu,Matthew Harvey,http://open.spotify.com/track/3RlwtjeKhemCfiPvwMFozS,2019-08-14,50,150405,0.435,0.977,0.154,0.85,0.0728,0.0799,-21.451,0.0367,148.1,2019,calm,2019
Melancholé,Melancholé,Biba Dupont,http://open.spotify.com/track/3SdkYA8frHe3BMZsPVPrRq,2020-06-26,34,149647,0.369,0.996,0.0283,0.941,0.101,0.119,-25.76,0.0399,83.391,2020,calm,2020
Mercy - Live,Retrospective,Hilary Hahn,http://open.spotify.com/track/4BntWROKZB5E0Y0K3LoHSQ,2018-01-19,0,326146,0.211,0.916,0.0838,0.41,0.102,0.0404,-20.882,0.0398,90.249,2018,calm,2018
Message In A Bottle - Remastered 2003,Reggatta De Blanc (Remastered),The Police,http://open.spotify.com/track/3bN4tg6rnNPy9GCkGhym4T,1979-10-02,1,290280,0.5770000000000001,0.0338,0.8079999999999999,1.33e-05,0.221,0.8690000000000001,-7.04,0.039,151.00799999999995,1979,energetic,1979
Midnight Sun,Midnight Sun,Nicky Romero,http://open.spotify.com/track/6qTP59Amjny78Qd8zayuNW,2019-05-10,57,145039,0.614,0.0574,0.98,2.51e-05,0.086,0.179,-3.61,0.199,127.062,2019,energetic,2019
Mil Sonidos,Mil Sonidos,Reina del Mar,http://open.spotify.com/track/11oVQ68B4PnVQHIY6svpXg,2019-10-11,59,192000,0.221,0.958,0.183,0.821,0.102,0.057,-17.59,0.0362,117.321,2019,calm,2019
Mind-wanders,Journey to the unknown,Patrick Hamilton,http://open.spotify.com/track/4sYNRSlV9pGInYcbsC18Jz,2020-07-10,32,207500,0.312,0.959,0.0185,0.901,0.111,0.147,-25.607,0.0437,176.972,2020,calm,2020
Mindfulness,Mindfulness,Amoll,http://open.spotify.com/track/3EQPb4sdkNPCHb6AMyUTXj,2019-12-13,29,207554,0.6920000000000001,0.992,0.00643,0.847,0.0452,0.16,-34.388000000000005,0.0553,105.987,2019,calm,2019
Minus,Minus,Daniel Blumberg,http://open.spotify.com/track/5Z8onMr6EW2eNDamrDoWi5,2018-03-15,0,342493,0.244,0.501,0.254,0.0458,0.105,0.0909,-12.966,0.0296,81.04899999999998,2018,calm,2018
Misty Mornings,Misty Mornings,Wilson Trouvé,http://open.spotify.com/track/5FXnCOAkMUAf4QIS56MRQL,2020-01-10,30,225700,0.522,0.981,0.0781,0.927,0.361,0.0796,-24.89,0.0424,107.038,2020,calm,2020
Momentum,Momentum,Monocle Twins,http://open.spotify.com/track/7Ln0DgKSrDG0ALbtNwGeml,2020-04-08,52,178741,0.636,0.8909999999999999,0.248,0.922,0.106,0.138,-17.313,0.0309,117.006,2020,calm,2020
Montana,Montana,Le Verne,http://open.spotify.com/track/1EyctTkkGJVS3UYTuy8YZM,2019-05-13,49,133645,0.435,0.913,0.0595,0.882,0.104,0.0898,-17.456,0.0435,115.929,2019,calm,2019
Monumental,Monumental,Antuigo,http://open.spotify.com/track/6CKu6K0xvozAgFlQq44Z56,2020-01-28,56,195057,0.491,0.916,0.217,0.962,0.177,0.0647,-6.805,0.0521,99.97,2020,calm,2020
Morning Shimmer,Morning Shimmer,Vochey,http://open.spotify.com/track/24PDuLZfLOKtAgh4axr36e,2020-05-13,49,218880,0.449,0.58,0.163,0.908,0.114,0.0501,-16.409000000000002,0.0361,125.088,2020,calm,2020
Moulain (Revisited 432hz),Moulain (Revisited 432hz),Steven Vrancken,http://open.spotify.com/track/0zNqfg3MpUGku4T6h2Pmab,2020-07-24,30,143000,0.424,0.972,0.3229999999999999,0.904,0.103,0.436,-27.586,0.0287,133.382,2020,calm,2020
Movies,Movies,Weyes Blood,http://open.spotify.com/track/4ZYFWXoHCIdsdgUdOMK9fr,2019-03-19,30,353732,0.0903,0.6459999999999999,0.362,0.402,0.106,0.0964,-8.929,0.0337,74.729,2019,calm,2019
Mr. Blue Sky,Out of the Blue,Electric Light Orchestra,http://open.spotify.com/track/2RlgNHKcydI9sayD2Df2xp,1977,82,303373,0.388,0.652,0.338,3.72e-06,0.248,0.477,-10.054,0.0328,177.78400000000005,1977,calm,1977
Mr. Jones,August And Everything After,Counting Crows,http://open.spotify.com/track/5DiXcVovI0FcY2s0icWWUu,1993-01-01,77,272293,0.578,0.183,0.8170000000000001,3.06e-06,0.285,0.726,-6.542000000000002,0.0363,141.621,1993,energetic,1993
Mudshovel,Dysfunction,Staind,http://open.spotify.com/track/6264zKFgXM13JuRBX4MMyD,1999-04-13,65,282093,0.328,0.000224,0.826,0.000944,0.0818,0.341,-5.085,0.0362,106.606,1999,angry,1999
"Murder Song (5, 4, 3, 2, 1) - Acoustic",All My Demons Greeting Me As A Friend (Deluxe),AURORA,http://open.spotify.com/track/6MM22AtXB7I5gfTErMF0mJ,2016-03-11,55,218666,0.398,0.902,0.0887,1.76e-06,0.0873,0.356,-13.683,0.0334,74.797,2016,calm,2016
My Favourite Game,Best Of,The Cardigans,http://open.spotify.com/track/4LpOPF5RXZhS1GLzclhyaT,2008-01-25,0,220413,0.594,0.000156,0.7659999999999999,0.00345,0.086,0.453,-7.598,0.0327,143.482,2008,energetic,2008
My Hero,Greatest Hits,Foo Fighters,http://open.spotify.com/track/7u5dBtASrtOuBTTZjJrvuJ,2009-11-03,60,258973,0.364,6.01e-05,0.925,0.000251,0.0603,0.301,-4.224,0.0659,153.981,2009,energetic,2009
My Way - Marcus Santoro Remix,My Way (ft. Alice Berg) [Marcus Santoro Remix],Nicky Romero,http://open.spotify.com/track/29pQasEiyy3Otgq55dzyTt,2019-03-19,0,181147,0.563,0.0122,0.882,2.09e-06,0.0641,0.296,-4.755,0.0596,125.043,2019,energetic,2019
Nazareth,Nazareth,Matteo Myderwyk,http://open.spotify.com/track/2cRD4yq8e8wd6PxS0zhuW3,2019-10-17,22,146125,0.378,0.995,0.0181,0.8809999999999999,0.104,0.16,-31.001,0.0552,86.53299999999999,2019,calm,2019
Need You - Ed. & Gustav Munk Remix,Need You (Remixes),Faustix,http://open.spotify.com/track/4cLXtRF6cIFGcuid2OLyUU,2019-09-20,52,200880,0.6559999999999999,0.00352,0.723,0.0,0.345,0.412,-7.693,0.0366,125.005,2019,energetic,2019
Never Be Lonely (feat. Envy Monroe),Never Be Lonely (feat. Envy Monroe),Blasterjaxx,http://open.spotify.com/track/5vckEy9NZ6kirDU4UX4bVl,2019-06-07,56,192000,0.5870000000000001,0.207,0.85,0.0,0.64,0.528,-3.904,0.0654,127.914,2019,energetic,2019
Never Letting Go,Never Letting Go,Audien,http://open.spotify.com/track/5llPdGZJjJFJv9aL6ZaiLY,2018-11-09,58,172519,0.534,0.0915,0.765,0.00107,0.225,0.117,-3.151,0.0338,127.978,2018,energetic,2018
Never My Love,Voices In The Sky,Isobel Campbell,http://open.spotify.com/track/4zRkmGHVgGGnJMhemMXD6I,2020-08-07,37,206584,0.764,0.6659999999999999,0.245,0.787,0.0967,0.356,-16.201,0.0383,101.968,2020,calm,2020
Night,Night,Wilson Trouvé,http://open.spotify.com/track/7D04SRPxcqHXjoK0YFPuAq,2020-04-24,31,192941,0.428,0.995,0.00129,0.955,0.0913,0.13,-32.837,0.0753,67.645,2020,calm,2020
Night Moves,Night Moves,Bob Seger,http://open.spotify.com/track/6UBjSnyP1O5W5ndJoO9vUk,1976-10-22,71,324422,0.705,0.4320000000000001,0.743,0.0133,0.103,0.374,-6.631,0.042,118.552,1976,angry,1976
Night Surrender,Night Surrender,DeLange,http://open.spotify.com/track/0kox8HaEK0EfeWcNVTOKTy,2020-07-17,38,193653,0.211,0.993,0.00977,0.8909999999999999,0.0996,0.13,-25.787,0.0396,175.39700000000005,2020,calm,2020
No More 54,No More 54,Dada Life,http://open.spotify.com/track/7LgkgNtOYgWfSJsGgDXFop,2019-03-22,46,196273,0.541,0.000492,0.967,0.6759999999999999,0.103,0.134,-5.682,0.0529,126.026,2019,energetic,2019
No Time To Die,No Time To Die,Billie Eilish,http://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR,2020-02-13,82,242265,0.38,0.917,0.219,0.0104,0.0827,0.0517,-13.273,0.0358,73.53699999999998,2020,calm,2020
Nobody,Nobody,Mac DeMarco,http://open.spotify.com/track/46SWSNRB3oAAOu21Apj22z,2019-03-05,50,212460,0.877,0.7759999999999999,0.178,0.0193,0.107,0.442,-13.987,0.102,74.997,2019,calm,2019
North,Solo (1*),Ton Snijders,http://open.spotify.com/track/3AtuVA6OJB7ZxBbMfA5qYx,2020-08-07,26,126480,0.522,0.994,0.0155,0.927,0.0949,0.119,-28.022,0.0441,91.764,2020,calm,2020
North Captiva,North Captiva,Lundegard,http://open.spotify.com/track/32dZxkZtsF5Vt3PrJQuV2i,2020-06-12,48,194495,0.479,0.918,0.346,0.929,0.111,0.23,-17.916,0.0306,143.965,2020,calm,2020
Not Alone,Not Alone,Otto Knows,http://open.spotify.com/track/7tx0NDsCViutjOyd1c4A28,2016-11-25,44,215447,0.68,0.0053799999999999,0.721,0.000216,0.0679,0.267,-6.21,0.0355,122.0,2016,energetic,2016
Nowhere Kids,Shapeshifter,Smile Empty Soul,http://open.spotify.com/track/08EI81e55Lcqg2ZelJOXcG,2016-04-01,36,248413,0.511,0.000106,0.914,0.00097,0.195,0.393,-5.31,0.0457,99.011,2016,angry,2016
October Rain,Recollections Vol. 4,Various Artists,http://open.spotify.com/track/2jdeYpaoWR0VMIyKrgQMQE,2020-03-27,36,177077,0.187,0.992,0.014,0.923,0.0925,0.144,-29.31,0.0418,69.012,2020,calm,2020
Old Rain on a New Day,Celestial Siren,Cora Zea,http://open.spotify.com/track/5P8BZ67Vw2CUwAYi12yvYj,2020-03-13,54,225500,0.286,0.971,0.14,0.892,0.134,0.154,-16.496,0.0346,119.191,2020,calm,2020
Older Than I Am,Three. Two. One.,Lennon Stella,http://open.spotify.com/track/15VDHAMS4JCLziCjNkmQl1,2020-04-24,66,181533,0.44,0.8909999999999999,0.306,0.0,0.103,0.201,-8.947000000000003,0.0363,117.288,2020,calm,2020
On My Way (feat. Jordan Kaahn),On My Way (feat. Jordan Kaahn),Robbie Rivera,http://open.spotify.com/track/0kDTkI3VN3LEObv3v3ehhY,2018-07-20,48,218000,0.6609999999999999,0.0188,0.93,0.00146,0.0919,0.3670000000000001,-4.208,0.0617,122.052,2018,energetic,2018
One More Night,One More Night,Labi Ramaj,http://open.spotify.com/track/0Ov2L3hgjc5TlxKuBpKOQK,2020-02-20,41,180972,0.62,0.00402,0.897,8.56e-05,0.108,0.183,-3.595,0.086,126.013,2020,energetic,2020
One Night - D.O.D Remix,One Night (D.O.D Remix),Cedric Gervais,http://open.spotify.com/track/5Q0VxlFh80F3LmbGnuDE4M,2018-05-04,41,252500,0.6809999999999999,0.00732,0.969,0.199,0.219,0.26,-1.394,0.0702,126.024,2018,energetic,2018
Only,Only,RY X,http://open.spotify.com/track/0yfd3MSq6JEsNxOzSLJR7g,2016-03-04,0,268455,0.373,0.906,0.178,0.5579999999999999,0.109,0.0933,-15.52,0.0303,108.605,2016,calm,2016
Open Fields,Open Fields,Faelt,http://open.spotify.com/track/24CJS73HBvYtVguUZBnyAn,2020-06-30,39,183181,0.491,0.97,0.197,0.916,0.214,0.216,-19.261,0.0298,132.106,2020,calm,2020
Our Lady of Sorrows,"I Brought You My Bullets, You Brought Me Your Love",My Chemical Romance,http://open.spotify.com/track/46mPWQpvSFkXrr5nWoWW74,2002,50,125626,0.271,0.00099,0.931,0.0,0.182,0.382,-6.81,0.0785,142.407,2002,energetic,2002
Out Of Control,The Reason,Hoobastank,http://open.spotify.com/track/2Uk3uky365BBGidUpOtKvw,2003-01-01,0,162106,0.443,0.00161,0.973,0.0,0.353,0.458,-4.386,0.133,157.872,2003,energetic,2003
Out Of Control - Pat Vocal Mix,Out Of Control EP,Lupe Fuentes,http://open.spotify.com/track/6wCsrMyI3DavGvodBx8A7h,2017-11-27,43,193548,0.8640000000000001,0.00875,0.742,0.394,0.41,0.6890000000000001,-6.117000000000001,0.043,124.009,2017,energetic,2017
Out of Control,Blind Spot,Lush,http://open.spotify.com/track/13i7d4s5EkgOIDHdzM0R4w,2017-09-30,0,262253,0.328,0.0041,0.799,6.29e-06,0.069,0.502,-5.992000000000001,0.0296,169.896,2017,energetic,2017
Out of the Deep,Out Of The Deep,Olivia Belli,http://open.spotify.com/track/6HrPFcVFz9wTBqqIrpJ8iB,2020-03-13,45,193207,0.2,0.992,0.0212,0.903,0.0929,0.0631,-32.285,0.0499,74.852,2020,calm,2020
Over My Head (Better Off Dead),Does This Look Infected?,Sum 41,http://open.spotify.com/track/3SO0vfryYv381w1ImgWONG,2002-01-01,49,149306,0.44,0.00222,0.919,0.00503,0.0892,0.773,-4.462,0.0735,184.324,2002,energetic,2002
Panoramic Feelings (Piano Version),Panoramic Feelings (Piano Version),LudoWic,http://open.spotify.com/track/3hxqWxFfmbIYcrV0e7wSyL,2019-10-25,33,230284,0.25,0.991,0.0084599999999999,0.8959999999999999,0.0853,0.0638,-24.34800000000001,0.0373,78.55199999999998,2019,calm,2019
Papercut,Hybrid Theory (Bonus Edition),Linkin Park,http://open.spotify.com/track/1Vej0qeQ3ioKwpI6FUbRv1,2000-10-24,73,184866,0.524,0.00022,0.939,0.0,0.623,0.6609999999999999,-3.994,0.113,150.184,2000,energetic,2000
Parabel,Parabel,Matteo Myderwyk,http://open.spotify.com/track/4IrzpCIP60bro2wkBq5dIi,2019-12-13,22,133000,0.354,0.976,0.0214,0.903,0.0957,0.148,-32.492,0.0388,112.008,2019,calm,2019
Path to Serenity,Path to Serenity,Arya Shae,http://open.spotify.com/track/6FI69Qkt6C2yBTVLC8zq34,2020-03-28,54,214277,0.134,0.961,0.0601,0.8690000000000001,0.109,0.0388,-19.866,0.0352,73.855,2020,calm,2020
People Are Strange - Festival Mix,People Are Strange (Incl. Festival Mix),KAAZE,http://open.spotify.com/track/5b61rcrjF6JG7yq0RRaOLh,2019-11-01,51,195468,0.636,0.00222,0.912,0.0269,0.598,0.0765,-5.671,0.091,127.963,2019,energetic,2019
People Help the People,Birdy (Deluxe Version),Birdy,http://open.spotify.com/track/6XRNCAnxJIB1p4RPdFVSq0,2011-11-04,58,256236,0.407,0.778,0.308,1.46e-05,0.092,0.153,-9.001,0.0296,73.25399999999998,2011,calm,2011
Petrichor,Petrichor,Cecelya,http://open.spotify.com/track/22KKy6ftT0i4nyGNCbwc1B,2019-01-29,54,118321,0.319,0.937,0.122,0.905,0.1669999999999999,0.214,-16.69,0.0373,70.263,2019,calm,2019
"Piano Sonata No. 14 In C Sharp Minor, Op. 27-2 1st Mvt: Adagio Sostenuto",Beethoven Piano Sonatas,Ludwig van Beethoven,http://open.spotify.com/track/4QNjuUkLHj47tEXgA6TFc3,2010-01-01,30,372173,0.274,0.995,0.00332,0.909,0.175,0.17,-41.45,0.0424,67.765,2010,calm,2010
Pierre,Virgule,Hicham Chahidi,http://open.spotify.com/track/1qlVrqeX158nz91Z72lzaa,2018,35,182000,0.356,0.989,0.0499,0.943,0.135,0.153,-24.949,0.0407,67.11,2018,calm,2018
Placidity,Placidity,Estado De Calma,http://open.spotify.com/track/1XtkmIXg2o5SqOrNI8Szvk,2019-08-19,50,165268,0.261,0.474,0.25,0.893,0.0882,0.0827,-18.526,0.0339,153.045,2019,sad,2019
Planet,PLANET,Sofiane Pamart,http://open.spotify.com/track/1gIZhNdfbkGJ2iyOZJmW9O,2019-11-22,0,151400,0.5489999999999999,0.988,0.0604,0.8690000000000001,0.111,0.113,-23.059,0.0332,113.98,2019,calm,2019
Play The Ghost,Play The Ghost,Sarah Davachi,http://open.spotify.com/track/0nL2bTth1UVQHWDDumMm3f,2020-08-06,31,301291,0.118,0.911,0.0567,0.879,0.106,0.0391,-19.274,0.0427,83.721,2020,calm,2020
Pour Les Oiseaux,Des Plumes Dans La Tête,Sylvain Chauveau,http://open.spotify.com/track/4NFa9tjhONF6lnu4SRbfG9,2010-02-21,0,76773,0.376,0.965,0.0879,0.944,0.099,0.308,-19.815,0.0423,70.433,2010,calm,2010
Prayer Of The Refugee,Endgame / Appeal To Reason / Siren Song Of The Counter Culture / The Sufferer & The Witness,Rise Against,http://open.spotify.com/track/3wTyLh0vhP3dN5yv0Mti17,2012-01-01,0,199386,0.198,0.00131,0.977,4.620000000000001e-05,0.23,0.351,-3.499,0.173,195.795,2012,energetic,2012
Prelude,Prelude,Marynka,http://open.spotify.com/track/1QmdL4qnNkm8FDuseRMf21,2020-05-22,30,223500,0.306,0.996,0.0846,0.901,0.0909,0.118,-27.607,0.0535,164.732,2020,calm,2020
Prelude 6 - Pt. 1,Voices,Max Richter,http://open.spotify.com/track/2R7BzSG2pPB99uJbU3lLmK,2020-07-31,55,161266,0.134,0.992,0.0407,0.794,0.117,0.043,-31.537,0.0426,217.95,2020,calm,2020
Prelude in F,Prelude in F,Alexander Motovilov,http://open.spotify.com/track/6CaQoqHFR0naK53v3jNGUT,2020-08-07,19,109000,0.461,0.968,0.272,0.946,0.113,0.5329999999999999,-24.315,0.0363,122.731,2020,calm,2020
Presence,Presence,Van Stiles,http://open.spotify.com/track/02QoKc20zzH9A8mf25NfPq,2019-09-20,49,125500,0.616,0.966,0.292,0.927,0.0955,0.0633,-16.837,0.0423,127.008,2019,calm,2019
Pressure,Pressure,Seth Hills,http://open.spotify.com/track/7f2d3p6nzGFR6874f0E7E7,2019-12-20,49,135585,0.708,0.00885,0.863,0.366,0.285,0.4370000000000001,-4.001,0.0606,127.981,2019,energetic,2019
Pumped Up Kicks,Torches,Foster The People,http://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT,2011-05-23,84,239600,0.733,0.145,0.71,0.115,0.0956,0.965,-5.849,0.0292,127.975,2011,energetic,2011
Quiet Room,Music For Mindfulness,Various Artists,http://open.spotify.com/track/5uTfZTuLLGbq1qFYwzg7jX,2017-10-20,0,156413,0.374,0.995,0.068,0.934,0.119,0.241,-21.842,0.0517,66.01,2017,calm,2017
"Quiet, The Winter Harbor",Still EP,Mazzy Star,http://open.spotify.com/track/1OArWxrw689jZXaJzSErbh,2018-06-01,37,255358,0.321,0.973,0.0792,0.104,0.0888,0.106,-17.737000000000005,0.0329,145.293,2018,calm,2018
